City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
531,Pemberton,CA,76.84,scattered clouds,50.3164,-122.8027,Pemberton Valley Lodge
536,Terralba,IT,80.85,light rain,39.7192,8.6392,B&B Neverland
537,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
538,Tezu,IN,75.18,overcast clouds,27.9167,96.1667,Circuit House
540,Kailua,US,85.98,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
543,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
544,Eyl,SO,78.85,overcast clouds,7.9803,49.8164,Amiin Hotel
547,Avera,US,87.85,overcast clouds,33.194,-82.5271,
553,Garden City,US,88.05,few clouds,42.3256,-83.331,Big Trees Mobile Home Community
555,Rock Sound,BS,81.23,overcast clouds,24.9,-76.2,Pink Corral Bay Property
556,Lompoc,US,88.7,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
557,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
559,Tura,IN,75.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
562,Sinnar,SD,77.63,overcast clouds,13.5691,33.5672,بساتين سالمة
564,Sungairaya,ID,77.04,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
565,Kutum,SD,76.62,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
566,Shache,CN,80.55,clear sky,38.4167,77.2406,Delong Hotel
569,Araguacu,BR,75.97,clear sky,-12.9306,-49.8264,Hotel Tocantins
572,Martapura,ID,78.89,few clouds,-3.4167,114.85,Montana Hotel Syariah
573,Sukumo,JP,82.24,overcast clouds,32.9333,132.7333,Sukumojo
574,Fort Nelson,CA,78.39,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
575,Nabire,ID,84.42,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
577,Bam,IR,89.44,clear sky,29.106,58.357,Bam Tourist Hotel
578,Verkhnevilyuysk,RU,83.07,broken clouds,63.4453,120.3167,Gostinitsa Mila
579,Pedernales,DO,81.5,overcast clouds,18.0384,-71.744,Hotel Costa Marina
582,Maneadero,MX,75.09,few clouds,31.7167,-116.5667,Casa De Thompson
583,Puerto Colombia,CO,82.49,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
586,Prainha,BR,75.22,overcast clouds,-1.8,-53.48,Casa Rocha
588,Moussoro,TD,88.86,scattered clouds,13.6408,16.4901,Hôtel Salama
589,Modasa,IN,84.63,clear sky,23.4667,73.3,HOTEL SUN SHINE
590,Sancti Spiritus,CU,76.89,scattered clouds,21.9297,-79.4425,Hostal El Parque
592,Honiara,SB,86.86,overcast clouds,-9.4333,159.95,Heritage Park Hotel
594,Darnah,LY,77.49,clear sky,32.767,22.6367,فندق الفردوس
597,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
599,Merrill,US,87.57,clear sky,45.1805,-89.6835,Prairie Motel
600,Noumea,NC,78.78,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
601,Hami,CN,86.99,overcast clouds,42.8,93.45,Laoyutang Resort
604,Kushima,JP,81.48,overcast clouds,31.4583,131.2333,Hanaoka
605,Olinda,BR,76.73,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
606,Samarai,PG,80.82,overcast clouds,-10.6167,150.6667,Nuli Sapi
607,Vero Beach,US,82.99,scattered clouds,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
611,Sokolo,ML,85.82,overcast clouds,14.7328,-6.1219,
612,Tiko,CM,75.81,moderate rain,4.0745,9.3699,3813 Hotel Tiko
614,Amahai,ID,81.72,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
617,Vaitape,PF,78.84,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
620,Chemax,MX,75.81,broken clouds,20.65,-87.9333,"Hotel ""Don Roger"""
623,Scottsbluff,US,84.43,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
627,Mecca,SA,89.42,light rain,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
629,Hay River,CA,78.78,broken clouds,60.8156,-115.7999,Ptarmigan Inn
634,Santa Rosa,PH,86.02,light rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
635,Kulhudhuffushi,MV,82.71,overcast clouds,6.6221,73.07,Haajy Guest House 1
638,Tongzi,CN,81.86,scattered clouds,28.7829,105.0877,Jiayuan Hotel
639,Temirtau,KZ,75.02,clear sky,50.0544,72.9483,Bota Hotel
645,Champerico,GT,81.14,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
648,Dipolog,PH,84.43,overcast clouds,8.5894,123.3414,D'Hotel & Suites
650,Lethem,GY,75.29,overcast clouds,3.3803,-59.7968,Savannah Inn
654,Kaura Namoda,NG,81.54,overcast clouds,12.5898,6.5779,Moonlight Hotel
657,Bemidji,US,79.38,scattered clouds,47.4736,-94.8803,Hampton Inn & Suites Bemidji
658,Kupang,ID,79.38,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
660,Payson,US,86.92,scattered clouds,40.0444,-111.7321,Quality Inn Payson I-15
661,Topolobampo,MX,87.6,clear sky,25.6,-109.05,Hotel Marina Topolobampo
663,Jatiroto,ID,77.63,broken clouds,-7.8833,111.1167,Mushola Al Huda
