City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,Ancud,CL,2022-04-26 20:21:34,-41.8697,-73.8203,43.23,70,100,16.04
159,Rovaniemi,FI,2022-04-26 20:21:34,66.5,25.7167,26.01,58,0,5.75
160,Ozernovskiy,RU,2022-04-26 20:21:35,51.5,156.5167,32.43,78,100,7.85
161,Poum,NC,2022-04-26 20:21:35,-20.2333,164.0167,76.26,63,100,17.02
162,Guerrero Negro,MX,2022-04-26 20:21:35,27.9769,-114.0611,76.84,36,7,14.56
163,Aden,YE,2022-04-26 20:19:04,12.7794,45.0367,83.61,79,73,15.66
164,Kruisfontein,ZA,2022-04-26 20:21:36,-34.0033,24.7314,53.89,93,0,7.34
165,Belmonte,BR,2022-04-26 20:21:37,-15.8631,-38.8828,78.55,77,32,8.93
166,Mucuri,BR,2022-04-26 20:21:37,-18.0864,-39.5508,79.47,74,1,9.17
167,Flinders,AU,2022-04-26 20:21:38,-34.5833,150.8552,61.18,93,100,4.0
168,Rosarito,MX,2022-04-26 20:21:38,32.3333,-117.0333,82.42,60,100,7.58
169,Baripada,IN,2022-04-26 20:21:39,21.935,86.7214,85.35,56,3,8.19
170,Camana,PE,2022-04-26 20:21:39,-16.6228,-72.7111,71.42,76,93,10.49
171,Impfondo,CG,2022-04-26 20:21:39,1.6381,18.0667,69.4,98,100,2.21
172,Tomorkeny,HU,2022-04-26 20:21:40,46.6172,20.0436,55.74,79,72,5.7
173,Jalu,LY,2022-04-26 20:21:40,29.0331,21.5482,83.14,13,89,15.37
174,Walvis Bay,NA,2022-04-26 20:17:19,-22.9575,14.5053,63.55,77,0,3.44
175,Katsuura,JP,2022-04-26 20:21:41,35.1333,140.3,69.82,91,100,31.47
176,Vadinsk,RU,2022-04-26 20:21:42,53.6916,43.0574,56.91,83,71,6.17
177,Guryevsk,RU,2022-04-26 20:21:42,54.2833,85.9333,41.41,63,100,5.14
178,Lyantonde,UG,2022-04-26 20:21:43,-0.4031,31.1572,62.65,89,100,0.92
179,Bengkulu,ID,2022-04-26 20:16:52,-3.8004,102.2655,77.47,89,53,5.44
180,Marawi,PH,2022-04-26 20:21:43,7.9986,124.2928,69.66,92,100,1.79
181,Labuhan,ID,2022-04-26 20:21:44,-6.8844,112.2051,78.51,87,100,4.43
