City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
216,Rapid Valley,US,44.0625,-103.1463,75.04,65,0,26.46,light intensity drizzle
217,Solnechnyy,RU,50.7214,136.6319,54.18,98,100,7.81,overcast clouds
218,Antalaha,MG,-14.9003,50.2788,69.1,83,99,10.63,light rain
219,Xining,CN,36.6167,101.7667,65.66,66,95,2.39,overcast clouds
220,Quatre Cocos,MU,-20.2078,57.7625,70.09,58,60,19.8,broken clouds
221,Sao Filipe,CV,14.8961,-24.4956,77.74,77,38,13.62,scattered clouds
222,Inhambane,MZ,-23.865,35.3833,67.24,80,28,3.0,scattered clouds
223,Utete,TZ,-7.986,38.758,66.18,85,53,1.68,broken clouds
224,Fortuna,US,40.5982,-124.1573,66.92,66,0,3.0,clear sky
225,Dwarka,IN,22.2394,68.9678,83.16,79,98,16.73,overcast clouds
226,Kuala Terengganu,MY,5.3302,103.1408,75.15,94,20,4.61,light rain
227,Nyurba,RU,63.2842,118.3319,77.99,50,97,6.69,overcast clouds
228,Geraldton,AU,-28.7667,114.6,48.61,93,0,6.91,clear sky
229,Penzance,GB,50.1186,-5.5371,56.08,71,51,24.67,broken clouds
230,Tasiilaq,GL,65.6145,-37.6368,39.36,67,97,4.94,overcast clouds
231,Kiunga,PG,-6.1219,141.2906,79.11,89,100,3.04,overcast clouds
232,Caravelas,BR,-17.7125,-39.2481,70.97,85,1,4.59,clear sky
233,Vila Do Maio,CV,15.1333,-23.2167,75.99,84,52,18.61,broken clouds
234,Kot Samaba,PK,28.5522,70.4684,94.62,23,0,6.08,clear sky
235,Broken Hill,AU,-31.95,141.4333,55.44,75,5,5.93,clear sky
236,Yar-Sale,RU,66.8333,70.8333,55.56,78,21,19.93,few clouds
237,Newcastle,AU,-32.9272,151.7765,65.08,62,3,17.27,clear sky
238,Del Rio,US,29.3627,-100.8968,102.31,19,0,14.97,clear sky
239,Flinders,AU,-34.5833,150.8552,64.38,61,27,5.99,scattered clouds
